gene,alias,celltype,mean_expr,pct_expr
AT4G23650,CDPK3,Meristematic,0.15638060867786407,9.107142857142856
AT4G23650,CDPK3,Guard,0.08636882156133652,5.617977528089887
AT4G23650,CDPK3,ALL,0.1432398110628128,7.47930483613303
AT4G09570,CDPK4,Epidermal,0.07186681032180786,3.545988665314823
AT4G09570,CDPK4,Mesophyll,0.04892474040389061,2.6417870518994113
AT4G09570,CDPK4,Stele,0.04930735379457474,2.5943396226415096
AT4G09570,CDPK4,Meristematic,0.06620744615793228,4.071428571428572
AT4G09570,CDPK4,Guard,0.030369935557246208,2.247191011235955
AT4G09570,CDPK4,ALL,0.06077561527490616,3.153894563586194
AT3G51860,CAX3,Epidermal,0.05647614598274231,2.6724899911610254
AT3G51860,CAX3,Mesophyll,0.03470761328935623,1.9127875869448905
AT3G51860,CAX3,Stele,0.039557233452796936,2.1226415094339623
AT3G51860,CAX3,Meristematic,0.06892868876457214,3.8214285714285716
AT3G51860,CAX3,Guard,0.017193632200360298,1.1235955056179776
AT3G51860,CAX3,ALL,0.04762083664536476,2.4156460279808294
AT1G08090,NRT2.1,Epidermal,0.004715626128017902,0.21837466853844956
AT1G08090,NRT2.1,Mesophyll,0.003113950602710247,0.18726591760299627
AT1G08090,NRT2.1,Stele,0.003094607964158058,0.16509433962264153
AT1G08090,NRT2.1,Meristematic,0.0034931874834001064,0.2142857142857143
AT1G08090,NRT2.1,Guard,0.0,0.0
AT1G08090,NRT2.1,ALL,0.0038765911012887955,0.20090042116473836
AT2G01980,SOS1,Epidermal,0.16285033524036407,8.001871782873186
AT2G01980,SOS1,Mesophyll,0.1308421790599823,7.082664526484751
AT2G01980,SOS1,Stele,0.1584176868200302,8.254716981132075
AT2G01980,SOS1,Meristematic,0.14890719950199127,8.714285714285715
AT2G01980,SOS1,Guard,0.2584758996963501,13.48314606741573
AT2G01980,SOS1,ALL,0.15007233619689941,7.755240354359297
AT1G35720,ANNAT1,Epidermal,0.12608620524406433,5.750532938179171
AT1G35720,ANNAT1,Mesophyll,0.12707582116127014,6.8151417870519
AT1G35720,ANNAT1,Stele,0.10059107840061188,5.235849056603774
