"","Epidermal","Mesophyll","Stele","Meristematic","Guard"
"AT4G27560",0.00609917873490915,0.00776790564232877,0.00727827080330274,0.0144848371797781,0
"AT2G36790",0.00787315233379068,0.00993906358764768,0.0101837451287307,0.00958592308767553,0
"AT4G25200",0.000285660368519884,0,0,0,0
"AT5G23220",0.0172522530155756,0.00991081444847385,0.0131661056908625,0.022727314812037,0
"AT4G13390",0.027606470688273,0.00184820072887647,0.00446904280788458,0.00247873785491724,0
"AT3G51240",0.0386214301647278,0.0388756563141931,0.0489387662264786,0.0592547646143645,0.10316825786533
"AT3G44326",0.0435557570938841,0.017119916962798,0.0257225213486332,0.0227776238577951,0
"AT1G66800",0.059222831014536,0.0331449165809586,0.0435481454503364,0.026908094495191,0.112723691646872
"AT1G51270",0.104432360755687,0.0711897016863655,0.0662668172963397,0.0681987916834162,0.0625722007449164
"AT2G42540",0.0127538510451195,0.0228058348711435,0.0324120105280524,0.0132265101387708,0
"AT2G30766",0.0268426235994633,0.0441707474857421,0.0492330460538067,0.0383436039249869,0
"AT3G29670",0.00563631468012961,0.00707811724848305,0.0288034984631991,0.00394951676263214,0
"AT5G65800",0.0099166762495832,0.00467197138430042,0.00283812170403855,0.00162493516967438,0
"AT2G07633",0.0402038495038911,0.0366322658898931,0.0452149562065461,0.0416652912444924,0.212057679593163
"AT1G13430",0.000774695533430534,0.000739283917047506,0,0,0
"AT2G23110",0,0.000706107417954672,0,0.0103334657800315,0
"AT5G38550",0.0204462364062156,0.0124208030941087,0.0151389634609608,0.0240730018055029,0
