"query_name","source","term_id","term_name","p_value","term_size","query_size","intersection_size","precision","recall","intersection"
"All_85","GO:BP","GO:0018205","peptidyl-lysine modification",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT5G50580"
"All_85","GO:BP","GO:0009693","ethylene biosynthetic process",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT5G65800"
"All_85","GO:BP","GO:0010959","regulation of metal ion transport",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT2G30766"
"All_85","GO:BP","GO:0010106","cellular response to iron ion starvation",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT3G56970"
"All_85","GO:BP","GO:0051050","positive regulation of transport",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT2G30766"
"All_85","GO:BP","GO:0006664","glycolipid metabolic process",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT1G25145"
"All_85","GO:BP","GO:0000041","transition metal ion transport",0.492893517018117,14,85,2,0.0235294117647059,0.142857142857143,"AT4G19690,AT2G30766"
"All_85","GO:BP","GO:0006099","tricarboxylic acid cycle",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT3G21720"
"All_85","GO:BP","GO:0031667","response to nutrient levels",0.492893517018117,29,85,3,0.0352941176470588,0.103448275862069,"AT3G56970,AT2G02990,AT2G30766"
"All_85","GO:BP","GO:0090407","organophosphate biosynthetic process",0.492893517018117,14,85,2,0.0235294117647059,0.142857142857143,"AT1G25145,AT5G23220"
"All_85","GO:BP","GO:0071577","zinc ion transmembrane transport",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT4G19690"
"All_85","GO:BP","GO:0009664","plant-type cell wall organization",0.492893517018117,29,85,3,0.0352941176470588,0.103448275862069,"AT1G26240,AT2G41850,AT4G13390"
"All_85","GO:BP","GO:0009692","ethylene metabolic process",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT5G65800"
"All_85","GO:BP","GO:0070370","cellular heat acclimation",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT5G48570"
"All_85","GO:BP","GO:1900674","olefin biosynthetic process",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT5G65800"
"All_85","GO:BP","GO:0043450","alkene biosynthetic process",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT5G65800"
"All_85","GO:BP","GO:0034758","positive regulation of iron ion transport",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT2G30766"
"All_85","GO:BP","GO:0009900","dehiscence",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT2G41850"
"All_85","GO:BP","GO:1903509","liposaccharide metabolic process",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT1G25145"
"All_85","GO:BP","GO:0010256","endomembrane system organization",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT1G51270"
"All_85","GO:BP","GO:0009901","anther dehiscence",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT2G41850"
"All_85","GO:BP","GO:0034756","regulation of iron ion transport",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT2G30766"
"All_85","GO:MF","GO:0016747","acyltransferase activity, transferring groups other than amino-acyl groups",0.517714027294866,18,85,2,0.0235294117647059,0.111111111111111,"AT5G13930,AT3G29670"
