sample_id,study,column_name,condition,ecotype,genotype,tissue,condition_binary
Flight-2-LEAVES-rep1,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Flight-2-LEAVES-rep1,Space Flight,Unknown,Wild Type,leaf,1
Flight-2-LEAVES-rep2,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Flight-2-LEAVES-rep2,Space Flight,Unknown,Wild Type,leaf,1
Flight-2-LEAVES-rep3,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Flight-2-LEAVES-rep3,Space Flight,Unknown,Wild Type,leaf,1
Flight-3-LEAVES-rep1,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Flight-3-LEAVES-rep1,Space Flight,Unknown,Wild Type,leaf,1
Flight-3-LEAVES-rep2,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Flight-3-LEAVES-rep2,Space Flight,Unknown,Wild Type,leaf,1
Flight-3-LEAVES-rep3,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Flight-3-LEAVES-rep3,Space Flight,Unknown,Wild Type,leaf,1
Ground_control_Col-0_Dark_bio_rep1,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Ground_control_Col-0_Dark_bio_rep1,Ground Control,Col-0,Wild Type,seedling,0
Ground_control_Ws_Light_bio_rep3,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Ground_control_Ws_Light_bio_rep3,Ground Control,Unknown,Wild Type,seedling,0
Ground_control_Ws_Light_bio_rep2,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Ground_control_Ws_Light_bio_rep2,Ground Control,Unknown,Wild Type,seedling,0
Ground_control_Ws_Light_bio_rep1,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Ground_control_Ws_Light_bio_rep1,Ground Control,Unknown,Wild Type,seedling,0
Flight_Ws_Dark_bio_rep3,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Flight_Ws_Dark_bio_rep3,Space Flight,Unknown,Wild Type,seedling,1
Flight_Ws_Dark_bio_rep2,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Flight_Ws_Dark_bio_rep2,Space Flight,Unknown,Wild Type,seedling,1
Flight_Ws_Dark_bio_rep1,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Flight_Ws_Dark_bio_rep1,Space Flight,Unknown,Wild Type,seedling,1
Flight_Col-0_Dark_bio_rep3,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Flight_Col-0_Dark_bio_rep3,Space Flight,Col-0,Wild Type,seedling,1
Flight_Col-0_Dark_bio_rep2,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Flight_Col-0_Dark_bio_rep2,Space Flight,Col-0,Wild Type,seedling,1
Flight_Col-0_Dark_bio_rep1,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Flight_Col-0_Dark_bio_rep1,Space Flight,Col-0,Wild Type,seedling,1
Flight_Ws_Light_bio_rep3,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Flight_Ws_Light_bio_rep3,Space Flight,Unknown,Wild Type,seedling,1
Flight_Ws_Light_bio_rep2,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Flight_Ws_Light_bio_rep2,Space Flight,Unknown,Wild Type,seedling,1
Flight_Ws_Light_bio_rep1,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Flight_Ws_Light_bio_rep1,Space Flight,Unknown,Wild Type,seedling,1
Flight_Col-0_Light_bio_rep3,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Flight_Col-0_Light_bio_rep3,Space Flight,Col-0,Wild Type,seedling,1
Ground_control_Col-0_Light_bio_rep3,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Ground_control_Col-0_Light_bio_rep3,Ground Control,Col-0,Wild Type,seedling,0
Flight_Col-0_Light_bio_rep2,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Flight_Col-0_Light_bio_rep2,Space Flight,Col-0,Wild Type,seedling,1
Flight_Col-0_Light_bio_rep1,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Flight_Col-0_Light_bio_rep1,Space Flight,Col-0,Wild Type,seedling,1
Ground_control_Ws_Dark_bio_rep3,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Ground_control_Ws_Dark_bio_rep3,Ground Control,Unknown,Wild Type,seedling,0
Ground_control_Ws_Dark_bio_rep2,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Ground_control_Ws_Dark_bio_rep2,Ground Control,Unknown,Wild Type,seedling,0
Ground_control_Ws_Dark_bio_rep1,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Ground_control_Ws_Dark_bio_rep1,Ground Control,Unknown,Wild Type,seedling,0
Ground_control_Col-0_Dark_bio_rep3,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Ground_control_Col-0_Dark_bio_rep3,Ground Control,Col-0,Wild Type,seedling,0
Ground_control_Col-0_Dark_bio_rep2,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Ground_control_Col-0_Dark_bio_rep2,Ground Control,Col-0,Wild Type,seedling,0
Ground_control_Col-0_Light_bio_rep2,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Ground_control_Col-0_Light_bio_rep2,Ground Control,Col-0,Wild Type,seedling,0
Ground_control_Col-0_Light_bio_rep1,OSD-678,OSD-678/OSD-678_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Ground_control_Col-0_Light_bio_rep1,Ground Control,Col-0,Wild Type,seedling,0
Atha_WT-Col-0_sl_FLT_Rep1_G1S1,OSD-38,OSD-38/OSD-38_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_WT-Col-0_sl_FLT_Rep1_G1S1,Space Flight,Col-0,Wild Type,seedling,1
Atha_WT-Col-0_sl_FLT_Rep2_G1S2,OSD-38,OSD-38/OSD-38_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_WT-Col-0_sl_FLT_Rep2_G1S2,Space Flight,Col-0,Wild Type,seedling,1
Atha_WT-Col-0_sl_FLT_Rep3_G1S3,OSD-38,OSD-38/OSD-38_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_WT-Col-0_sl_FLT_Rep3_G1S3,Space Flight,Col-0,Wild Type,seedling,1
Atha_WT-Col-0_sl_GC_Rep1_G2S1,OSD-38,OSD-38/OSD-38_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_WT-Col-0_sl_GC_Rep1_G2S1,Ground Control,Col-0,Wild Type,seedling,0
Atha_WT-Col-0_sl_GC_Rep2_G2S2,OSD-38,OSD-38/OSD-38_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_WT-Col-0_sl_GC_Rep2_G2S2,Ground Control,Col-0,Wild Type,seedling,0
Atha_WT-Col-0_sl_GC_Rep3_G2S3,OSD-38,OSD-38/OSD-38_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_WT-Col-0_sl_GC_Rep3_G2S3,Ground Control,Col-0,Wild Type,seedling,0
GSM4486065,OSD-321,,Space Flight,Col-0,Wild Type,seedling,1
GSM4486066,OSD-321,,Space Flight,Col-0,Wild Type,seedling,1
GSM4486067,OSD-321,,Space Flight,Col-0,Wild Type,seedling,1
GSM4486068,OSD-321,,Space Flight,Col-0,Wild Type,seedling,1
GSM4486069,OSD-321,,Space Flight,Col-0,Wild Type,seedling,1
GSM4486070,OSD-321,,Ground Control,Col-0,Wild Type,seedling,0
GSM4486071,OSD-321,,Ground Control,Col-0,Wild Type,seedling,0
GSM4486072,OSD-321,,Ground Control,Col-0,Wild Type,seedling,0
GSM4486073,OSD-321,,Ground Control,Col-0,Wild Type,seedling,0
GSM4486074,OSD-321,,Ground Control,Col-0,Wild Type,seedling,0
